instance_id,window_accuracy,window_kappa,cumulative_accuracy,cumulative_kappa,region_already_present
154,-1,-1,77.35849056603774,-0.0443349753694583,1
155,-1,-1,77.35849056603774,-0.0443349753694583,1
156,-1,-1,77.35849056603774,-0.0443349753694583,1
157,-1,-1,77.35849056603774,-0.0443349753694583,1
158,-1,-1,77.35849056603774,-0.0443349753694583,1
159,-1,-1,77.35849056603774,-0.0443349753694583,1
160,-1,-1,77.35849056603774,-0.0443349753694583,1
161,-1,-1,77.35849056603774,-0.0443349753694583,1
162,-1,-1,77.35849056603774,-0.0443349753694583,1
163,-1,-1,77.35849056603774,-0.0443349753694583,1
164,-1,-1,77.35849056603774,-0.0443349753694583,1
165,-1,-1,77.35849056603774,-0.0443349753694583,1
166,-1,-1,77.35849056603774,-0.0443349753694583,1
167,-1,-1,77.35849056603774,-0.0443349753694583,1
168,-1,-1,77.35849056603774,-0.0443349753694583,1
169,-1,-1,77.35849056603774,-0.0443349753694583,1
170,-1,-1,77.35849056603774,-0.0443349753694583,1
171,-1,-1,77.35849056603774,-0.0443349753694583,1
172,-1,-1,77.35849056603774,-0.0443349753694583,1
173,-1,-1,77.35849056603774,-0.0443349753694583,1
174,-1,-1,77.35849056603774,-0.0443349753694583,1
175,-1,-1,77.35849056603774,-0.0443349753694583,1
176,-1,-1,77.35849056603774,-0.0443349753694583,1
177,-1,-1,77.35849056603774,-0.0443349753694583,1
178,-1,-1,77.35849056603774,-0.0443349753694583,1
179,-1,-1,77.35849056603774,-0.0443349753694583,1
180,-1,-1,77.35849056603774,-0.0443349753694583,1
181,-1,-1,77.35849056603774,-0.0443349753694583,1
182,-1,-1,77.35849056603774,-0.0443349753694583,1
183,-1,-1,77.35849056603774,-0.0443349753694583,1
184,-1,-1,77.35849056603774,-0.0443349753694583,1
185,-1,-1,77.35849056603774,-0.0443349753694583,1
186,-1,-1,77.35849056603774,-0.0443349753694583,1
187,-1,-1,77.35849056603774,-0.0443349753694583,1
188,-1,-1,77.35849056603774,-0.0443349753694583,1
189,-1,-1,77.35849056603774,-0.0443349753694583,1
190,-1,-1,77.35849056603774,-0.0443349753694583,1
191,-1,-1,77.35849056603774,-0.0443349753694583,1
192,-1,-1,77.35849056603774,-0.0443349753694583,1
193,-1,-1,77.35849056603774,-0.0443349753694583,1
194,-1,-1,77.35849056603774,-0.0443349753694583,1
195,-1,-1,77.35849056603774,-0.0443349753694583,1
196,-1,-1,77.35849056603774,-0.0443349753694583,1
197,-1,-1,77.35849056603774,-0.0443349753694583,1
198,-1,-1,77.35849056603774,-0.0443349753694583,1
199,-1,-1,77.77777777777779,-0.04347826086956543,1
200,-1,-1,78.18181818181819,-0.0426540284360184,1
201,-1,-1,78.18181818181819,-0.0426540284360184,1
202,-1,-1,78.18181818181819,-0.0426540284360184,1
203,-1,-1,78.18181818181819,-0.0426540284360184,1
204,-1,-1,78.18181818181819,-0.0426540284360184,1
205,-1,-1,78.18181818181819,-0.0426540284360184,1
206,-1,-1,78.18181818181819,-0.0426540284360184,1
